Atribute 1,Atribute 2,Atribute 3,Atribute 4,Atribute 5,Atribute 6,Result
1,0,1,0,1,0,1
0,0,0,0,1,1,0
0,1,1,1,1,1,0
0,0,1,0,0,1,0
0,0,1,1,1,1,0
0,0,0,0,1,1,0
0,0,1,1,1,1,0
0,0,0,1,1,1,0
0,1,1,1,1,1,0
0,0,1,0,0,1,0
0,0,1,0,1,1,0
0,0,0,1,1,1,0
1,1,1,1,0,0,1
0,0,1,1,1,1,0
0,1,1,0,1,0,0
0,0,0,0,0,1,0
0,1,1,1,1,0,0
0,0,1,1,1,1,0
0,0,0,1,1,0,0
1,1,1,1,1,1,0
1,1,0,0,1,0,1
0,1,0,0,1,1,0
0,0,0,1,1,1,0
0,0,0,1,1,1,0
0,0,0,1,1,0,0
0,0,0,1,1,0,0
0,1,0,1,1,0,0
0,0,1,1,1,1,0
0,0,0,0,0,1,0
0,0,0,1,0,1,0
0,0,0,1,0,1,0
0,1,1,1,1,1,0
0,0,0,1,1,1,0
0,0,0,1,1,1,0
0,0,0,0,1,1,0
0,0,0,0,0,1,0
1,1,0,1,0,0,1
0,0,1,1,1,1,0
1,0,0,1,1,1,0
0,0,0,0,1,0,0
0,0,0,1,0,1,0
0,0,1,1,1,0,0
0,1,0,0,1,1,0
0,0,0,1,1,1,0
0,0,0,1,1,1,0
0,0,0,0,0,1,0
0,1,1,1,1,1,0
0,1,1,0,0,1,0
0,0,1,1,0,1,0
0,1,0,1,1,1,0
0,0,0,1,1,1,0
0,1,0,0,0,1,0
1,0,0,0,0,1,0
0,0,1,1,1,1,0
0,1,0,0,1,1,0
0,0,0,1,1,1,0
0,0,0,0,1,0,0
1,0,0,0,0,0,1
0,0,0,1,1,1,0
0,1,1,0,1,1,0
0,0,0,0,1,1,0
0,0,0,1,1,1,0
0,0,1,0,1,1,0
0,0,1,0,0,1,0
0,0,1,0,1,1,0
0,1,0,1,1,1,0
0,0,0,0,1,1,0
0,1,0,0,1,1,0
0,1,1,1,1,1,0
0,0,1,1,0,1,0
0,0,0,1,0,1,0
0,0,1,1,1,1,0
0,0,0,1,0,0,0
0,0,1,1,1,1,0
0,0,1,0,1,1,0
0,0,1,1,1,0,0
0,0,0,0,1,1,0
0,0,1,1,0,1,0
0,0,0,1,1,1,0
0,1,0,1,0,1,0
0,0,0,1,1,1,0
0,0,0,1,1,1,0
0,0,0,1,1,1,0
0,0,1,1,0,1,0
0,0,1,1,0,1,0
0,0,1,0,1,1,0
0,0,1,1,1,1,0
0,0,0,1,1,1,0
0,0,0,0,1,0,0
0,0,0,1,1,1,0
0,0,0,1,0,1,0
0,0,0,0,1,1,0
0,0,0,0,1,0,0
0,1,0,0,1,1,0
0,1,0,1,1,0,0
0,1,1,0,1,1,0
0,0,0,1,1,1,0
0,0,0,0,1,1,0
0,0,0,1,1,1,0
0,0,1,1,1,1,0
0,1,0,1,1,1,0
0,0,1,0,1,1,0
0,0,0,0,1,1,0
0,0,0,0,1,0,0
0,0,0,1,1,1,0
0,0,0,1,1,1,0
1,0,0,1,0,1,0
0,0,0,1,1,1,0
1,1,0,0,1,0,1
0,0,0,0,1,1,0
0,0,1,1,1,1,0
0,0,1,0,1,1,0
0,0,0,0,0,1,0
0,0,0,0,1,1,0
0,0,0,0,1,1,0
1,0,0,0,1,1,0
0,0,0,0,1,1,0
0,1,1,0,1,1,0
0,0,0,1,1,1,0
0,0,1,0,1,1,0
0,0,1,1,1,1,0
0,0,1,1,0,0,0
0,0,1,0,0,1,0
0,0,0,0,0,1,0
0,0,0,0,1,1,0
1,0,0,1,1,1,0
0,0,1,0,1,1,0
1,1,1,0,0,0,1
0,0,1,1,1,1,0
0,0,0,1,1,0,0
0,0,0,1,0,1,0
0,0,1,1,1,1,0
0,0,0,1,1,1,0
0,0,1,1,1,0,0
0,0,1,0,1,1,0
0,0,1,0,1,1,0
1,1,1,1,1,1,1
0,1,0,0,0,1,0
0,0,0,0,0,1,0
0,0,0,0,1,1,0
0,0,0,0,1,0,0
0,0,1,1,1,1,0
0,0,0,0,1,1,0
0,0,0,0,1,1,0
0,0,0,1,0,0,0
0,0,1,1,0,1,0
1,1,1,0,0,0,1
1,0,0,0,0,0,1
1,1,0,0,0,0,1
1,1,0,1,1,0,1
1,1,1,0,1,0,1
0,0,1,1,1,1,0
0,0,1,1,1,0,0
0,0,1,1,1,1,0
0,0,0,1,1,1,0
0,1,0,0,0,1,0
0,0,0,0,1,1,0
1,1,1,1,0,0,1
1,0,1,0,0,1,0
0,0,0,0,0,1,0
1,1,1,1,0,0,1
0,0,1,0,1,1,0
1,1,0,1,1,0,0
0,0,0,1,1,1,0
0,0,0,1,1,1,0
0,1,1,1,1,0,0
0,0,0,1,1,1,0
0,0,0,1,1,0,0
0,0,1,0,1,1,0
0,0,0,0,1,1,0
0,0,1,1,1,1,0
0,0,0,1,1,1,0
0,0,0,1,1,1,0
0,0,0,0,0,1,0
0,0,0,1,1,1,0
0,1,0,1,1,1,0
0,0,0,1,1,0,0
0,1,1,1,1,0,0
1,0,0,1,1,1,0
0,0,0,1,1,1,0
1,0,1,0,0,1,1
0,0,0,1,0,1,0
0,0,1,0,1,1,0
0,0,0,0,1,0,0
0,1,0,0,1,1,0
0,1,0,0,1,1,0
1,1,0,1,1,1,0
0,1,1,0,1,1,0
0,0,0,0,1,1,0
0,1,0,0,1,1,0
0,0,1,0,1,1,0
0,0,0,0,1,1,0
0,0,0,1,1,0,0
0,0,0,1,1,1,0
0,0,0,1,1,1,0
0,0,1,1,0,0,0
0,0,0,0,1,1,0
0,0,1,1,1,1,0
0,0,0,1,1,1,0
0,1,0,1,1,1,0
0,0,1,1,1,1,0
0,0,0,0,1,1,0
1,1,1,0,0,0,1
0,0,0,1,0,1,0
0,0,1,1,1,1,0
0,1,1,0,1,0,0
0,0,1,1,1,1,0
0,1,1,1,1,1,0
0,0,1,1,0,1,0
0,0,0,1,1,1,0
0,1,0,0,1,1,0
0,0,0,1,0,1,0
0,0,0,0,0,0,0
1,1,0,0,0,0,1
0,0,0,0,1,1,0
0,0,0,0,1,0,0
0,1,0,0,1,1,0
